problem_id,title,difficulty,passed,status,passed_tests,total_tests,plan_correctness,implementation_fidelity,primary_bottleneck,analysis_note
1873_A,A. Short Sort,easy,False,WRONG_ANSWER,3,5,Incorrect,High,Planning,The plan incorrectly characterizes one-swap reachability using adjacent inversions and misclassifies cba. The code faithfully implements the incorrect decision rule.
1873_B,B. Good Kid,easy,False,WRONG_ANSWER,0,13,Partially Correct,Low,Coding,"The plan identifies the correct brute-force idea of incrementing each digit and comparing the resulting full array product, although its edge-case statements are incorrect. The code does not implement the planned product computation; instead, it treats the digits as decimal positions using powers of ten. The primary failure is therefore in code generation."
1873_D,D. 1D Eraser,easy,False,WRONG_ANSWER,0,13,Incorrect,Medium,Both,"The plan incorrectly models the task as a sliding-window optimization based on the number of black cells in each window. The correct solution is a left-to-right greedy scan that performs an operation at each first uncovered black cell and skips k positions. The code follows the plan's sliding-window direction but further reduces the objective to the minimum black count of any window, which does not represent the number of operations needed for the entire string."
1883_B,B. Chemistry,medium,False,WRONG_ANSWER,0,4,Partially Correct,Medium,Both,"The plan correctly recognizes that palindrome rearrangement depends on the number of odd character frequencies, but it does not derive the exact condition for deleting exactly k characters. The correct criterion is odd_count <= k + 1. The implementation counts odd frequencies in the original string and simply checks odd_count <= 1, effectively ignoring the impact of k. Therefore, both incomplete planning and incorrect implementation contribute to the failure."
1883_C,C. Raspberries,medium,False,WRONG_ANSWER,8,13,Incorrect,Low,Both,"The plan incorrectly formulates the problem as a dynamic program over digit increment counts and misses the key case-based solution, especially the special handling for k=4 using either one multiple of four or two even factors. The implementation does not compute the actual increment cost for any array element and instead updates the product modulo k using an unrelated loop index. Thus both the planning abstraction and the code implementation are fundamentally incorrect."
1899_A,A. Game with Integers,easy,False,WRONG_ANSWER,2,13,Incorrect,High,Planning,"The plan derives an incorrect and internally inconsistent winning condition. It claims that First wins when n is already divisible by 3, although the winning condition applies only after First makes a move. The correct rule is First when n % 3 != 0 and Second when n % 3 == 0. The code faithfully implements the incorrect plan and returns First for every input."
1899_B,B. 250 Thousand Tons of TNT,hard,False,RUNTIME_ERROR,0,13,Incorrect,Medium,Both,"The plan incorrectly reformulates the problem as a greedy solution over sorted weights, whereas the original order of boxes must be preserved and block sums should be evaluated for every divisor of n. The implementation follows the incorrect sorting-based direction but also fails to compute all truck block sums, considering only the first block. In addition, the submitted code contains a Python variable scope bug (`data` becomes a local variable), causing a runtime error before the algorithm executes."
1899_C,C. Yarik and Array,hard,False,WRONG_ANSWER,6,13,Partially Correct,Medium,Both,"The plan correctly identifies a Kadane-style solution and the need to continue or restart based on alternating parity. However, its max_odd/max_even invariant does not preserve the requirement that the subarray be contiguous and end at the immediately preceding position. The implementation follows this flawed state design and also extends an even-ending state with another even value, and similarly for odd values, violating the alternating-parity condition. Thus both incomplete planning and incorrect implementation contribute to the failure."
1899_D,D. Yarik and Musical Notes,hard,False,WRONG_ANSWER,12,13,Incorrect,High,Planning,"The plan incorrectly concludes that the equality holds only when the two note values are equal. For b_i = 2^a_i and b_j = 2^a_j, the condition reduces to a_i * 2^a_j = a_j * 2^a_i, which holds when a_i = a_j and also for the special pair {1, 2}. The implementation faithfully counts only equal-value pairs and therefore omits all cross pairs between values 1 and 2."
abc301_a,Overall Winner,easy,False,WRONG_ANSWER,13,15,Correct,Medium,Coding,"The plan correctly states that the winner is determined by total wins, with ties broken by who reaches the final tied count first. The implementation correctly counts total wins but handles ties incorrectly by printing the winner of the first game rather than tracking when each player reaches the final tied count. The primary failure is therefore in code generation."
