problem_id,difficulty,pattern,direct_passed,self_plan_passed,teacher_plan_passed,direct_test_pass_ratio,self_plan_test_pass_ratio,teacher_plan_test_pass_ratio
abc400_a,easy,F-F-P,False,False,True,0.046511627906976744,0.023255813953488372,1.0
abc400_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc399_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc399_b,easy,F-F-F,False,False,False,0.13636363636363635,0.09090909090909091,0.045454545454545456
abc398_a,easy,F-F-F,False,False,False,0.0,0.5238095238095238,0.11904761904761904
abc397_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc396_b,easy,P-F-F,True,False,False,1.0,0.07142857142857142,0.0
abc396_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc395_b,easy,P-F-F,True,False,False,1.0,0.0,0.09090909090909091
abc395_a,easy,P-P-F,True,True,False,1.0,1.0,0.0
abc394_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc394_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc393_a,easy,F-F-P,False,False,True,0.5714285714285714,0.7857142857142857,1.0
abc393_b,easy,P-F-F,True,False,False,1.0,0.6511627906976745,0.8372093023255814
abc392_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc392_b,easy,P-F-F,True,False,False,1.0,0.0,0.11627906976744186
abc391_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc391_b,easy,P-F-P,True,False,True,1.0,0.07142857142857142,1.0
abc390_a,easy,P-F-P,True,False,True,1.0,0.8636363636363636,1.0
abc390_b,easy,P-P-F,True,True,False,1.0,1.0,0.7906976744186046
abc389_b,easy,P-F-P,True,False,True,1.0,0.7142857142857143,1.0
abc389_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc388_b,easy,P-F-P,True,False,True,1.0,0.023809523809523808,1.0
abc388_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc387_b,easy,P-F-P,True,False,True,1.0,0.0,1.0
abc387_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc386_a,easy,F-F-P,False,False,True,0.7333333333333333,0.5555555555555556,1.0
abc386_b,easy,F-F-P,False,False,True,0.5813953488372093,0.11627906976744186,1.0
abc385_a,easy,F-F-P,False,False,True,0.9069767441860465,0.6046511627906976,1.0
abc385_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc384_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc384_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc383_a,easy,F-F-F,False,False,False,0.0,0.0,0.0
abc382_a,easy,F-P-P,False,True,True,0.0,1.0,1.0
abc382_b,easy,P-F-P,True,False,True,1.0,0.5813953488372093,1.0
abc381_a,easy,F-P-F,False,True,False,0.5681818181818182,1.0,0.5
abc381_b,easy,P-P-F,True,True,False,1.0,1.0,0.7674418604651163
abc380_a,easy,P-F-P,True,False,True,1.0,0.06818181818181818,1.0
abc380_b,easy,F-F-F,False,False,False,0.0,0.0,0.0
abc379_b,easy,F-P-P,False,True,True,0.8604651162790697,1.0,1.0
abc379_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc378_b,easy,F-F-F,False,False,False,0.0,0.0,0.0
abc378_a,easy,F-F-P,False,False,True,0.046511627906976744,0.09302325581395349,1.0
abc377_b,easy,P-F-P,True,False,True,1.0,0.11764705882352941,1.0
abc377_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc376_a,easy,F-F-P,False,False,True,0.29411764705882354,0.058823529411764705,1.0
abc375_b,easy,F-F-F,False,False,False,0.07142857142857142,0.07142857142857142,0.14285714285714285
abc375_a,easy,F-P-F,False,True,False,0.5217391304347826,1.0,0.6956521739130435
abc374_b,easy,F-F-F,False,False,False,0.76,0.52,0.76
abc374_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc373_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc373_b,easy,F-F-F,False,False,False,0.1,0.0,0.1
abc372_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc371_b,easy,F-F-P,False,False,True,0.1875,0.0,1.0
abc371_a,easy,F-F-F,False,False,False,0.16666666666666666,0.0,0.6666666666666666
abc370_a,easy,F-F-P,False,False,True,0.75,0.75,1.0
abc370_b,easy,F-F-P,False,False,True,0.0625,0.0625,1.0
abc369_a,easy,F-F-P,False,False,True,0.3333333333333333,0.3333333333333333,1.0
abc369_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc368_a,easy,F-F-P,False,False,True,0.4,0.4,1.0
abc368_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc367_a,easy,F-F-F,False,False,False,0.7857142857142857,0.5714285714285714,0.0
abc367_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc366_b,easy,F-F-P,False,False,True,0.1,0.1,1.0
abc366_a,easy,F-F-P,False,False,True,0.8571428571428571,0.7619047619047619,1.0
abc365_b,easy,F-F-F,False,False,False,0.26666666666666666,0.26666666666666666,0.4
abc365_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc364_b,easy,P-P-F,True,True,False,1.0,1.0,0.38095238095238093
abc364_a,easy,F-F-F,False,False,False,0.10526315789473684,0.10526315789473684,0.8421052631578947
abc363_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc363_b,easy,F-F-P,False,False,True,0.2608695652173913,0.34782608695652173,1.0
abc362_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc362_b,easy,P-F-P,True,False,True,1.0,0.6956521739130435,1.0
abc361_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc360_b,easy,F-F-F,False,False,False,0.0,0.8695652173913043,0.0
abc360_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc359_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc359_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc358_b,easy,F-F-P,False,False,True,0.043478260869565216,0.0,1.0
abc358_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc357_a,easy,F-P-F,False,True,False,0.7368421052631579,1.0,0.15789473684210525
abc357_b,easy,P-P-F,True,True,False,1.0,1.0,0.0
abc356_a,easy,P-P-F,True,True,False,1.0,1.0,0.5555555555555556
abc356_b,easy,P-P-F,True,True,False,1.0,1.0,0.6363636363636364
abc355_b,easy,F-P-P,False,True,True,0.6,1.0,1.0
abc355_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
