problem_id,difficulty,pattern,direct_passed,self_plan_passed,teacher_plan_passed,direct_test_pass_ratio,self_plan_test_pass_ratio,teacher_plan_test_pass_ratio
abc400_a,easy,F-F-F,False,False,False,0.046511627906976744,0.023255813953488372,0.2558139534883721
abc400_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc399_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc399_b,easy,F-F-P,False,False,True,0.13636363636363635,0.045454545454545456,1.0
abc398_a,easy,F-F-P,False,False,True,0.0,0.5238095238095238,1.0
abc397_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc396_b,easy,P-F-F,True,False,False,1.0,0.3333333333333333,0.0
abc396_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc395_b,easy,P-F-F,True,False,False,1.0,0.0,0.09090909090909091
abc395_a,easy,P-P-F,True,True,False,1.0,1.0,0.0
abc394_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc394_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc393_a,easy,F-F-P,False,False,True,0.42857142857142855,0.5238095238095238,1.0
abc393_b,easy,P-F-F,True,False,False,1.0,0.7441860465116279,0.8372093023255814
abc392_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc392_b,easy,P-F-F,True,False,False,1.0,0.0,0.11627906976744186
abc391_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc391_b,easy,P-F-P,True,False,True,1.0,0.07142857142857142,1.0
abc390_a,easy,P-F-F,True,False,False,1.0,0.8636363636363636,0.1590909090909091
abc390_b,easy,P-P-F,True,True,False,1.0,1.0,0.7906976744186046
abc389_b,easy,P-F-P,True,False,True,1.0,0.7142857142857143,1.0
abc389_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc388_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc388_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc387_b,easy,P-F-P,True,False,True,1.0,0.0,1.0
abc387_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc386_a,easy,F-F-P,False,False,True,0.7333333333333333,0.7333333333333333,1.0
abc386_b,easy,F-F-P,False,False,True,0.5813953488372093,0.6511627906976745,1.0
abc385_a,easy,F-F-P,False,False,True,0.9069767441860465,0.6046511627906976,1.0
abc385_b,easy,F-F-F,False,False,False,0.0,0.0,0.13953488372093023
abc384_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc384_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc383_a,easy,F-F-F,False,False,False,0.0,0.023255813953488372,0.0
abc382_a,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc382_b,easy,P-F-P,True,False,True,1.0,0.5813953488372093,1.0
abc381_a,easy,F-P-F,False,True,False,0.5681818181818182,1.0,0.5
abc381_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc380_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc380_b,easy,P-F-F,True,False,False,1.0,0.0,0.0
abc379_b,easy,P-F-P,True,False,True,1.0,0.8604651162790697,1.0
abc379_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc378_b,easy,F-F-F,False,False,False,0.024390243902439025,0.0,0.0
abc378_a,easy,F-P-P,False,True,True,0.046511627906976744,1.0,1.0
abc377_b,easy,P-F-F,True,False,False,1.0,0.11764705882352941,0.23529411764705882
abc377_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc376_a,easy,F-F-P,False,False,True,0.29411764705882354,0.35294117647058826,1.0
abc375_b,easy,F-F-F,False,False,False,0.07142857142857142,0.07142857142857142,0.14285714285714285
abc375_a,easy,F-F-F,False,False,False,0.5217391304347826,0.6956521739130435,0.6956521739130435
abc374_b,easy,P-F-F,True,False,False,1.0,0.44,0.76
abc374_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc373_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc373_b,easy,F-F-P,False,False,True,0.1,0.1,1.0
abc372_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc371_b,easy,F-F-F,False,False,False,0.1875,0.0,0.0
abc371_a,easy,F-F-P,False,False,True,0.0,0.16666666666666666,1.0
abc370_a,easy,F-F-P,False,False,True,0.75,0.75,1.0
abc370_b,easy,F-F-F,False,False,False,0.0625,0.0,0.0
abc369_a,easy,F-F-F,False,False,False,0.0,0.3333333333333333,0.75
abc369_b,easy,F-F-P,False,False,True,0.05,0.15,1.0
abc368_a,easy,F-F-P,False,False,True,0.4,0.4,1.0
abc368_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc367_a,easy,F-F-F,False,False,False,0.42857142857142855,0.5714285714285714,0.0
abc367_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc366_b,easy,F-F-P,False,False,True,0.1,0.1,1.0
abc366_a,easy,F-F-P,False,False,True,0.8571428571428571,0.7619047619047619,1.0
abc365_b,easy,F-F-F,False,False,False,0.26666666666666666,0.26666666666666666,0.4
abc365_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc364_b,easy,P-P-F,True,True,False,1.0,1.0,0.38095238095238093
abc364_a,easy,F-F-F,False,False,False,0.631578947368421,0.10526315789473684,0.8421052631578947
abc363_a,easy,P-F-P,True,False,True,1.0,0.14285714285714285,1.0
abc363_b,easy,F-F-P,False,False,True,0.34782608695652173,0.34782608695652173,1.0
abc362_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc362_b,easy,P-F-P,True,False,True,1.0,0.6956521739130435,1.0
abc361_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc360_b,easy,F-F-F,False,False,False,0.391304347826087,0.43478260869565216,0.6086956521739131
abc360_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc359_b,easy,F-P-P,False,True,True,0.15384615384615385,1.0,1.0
abc359_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc358_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc358_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc357_a,easy,P-P-F,True,True,False,1.0,1.0,0.15789473684210525
abc357_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc356_a,easy,P-P-F,True,True,False,1.0,1.0,0.5555555555555556
abc356_b,easy,P-P-F,True,True,False,1.0,1.0,0.6363636363636364
abc355_b,easy,F-F-P,False,False,True,0.6,0.6,1.0
abc355_a,easy,P-F-P,True,False,True,1.0,0.5833333333333334,1.0
abc354_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc354_a,easy,F-F-F,False,False,False,0.7391304347826086,0.7391304347826086,0.2608695652173913
abc353_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc353_a,easy,P-F-P,True,False,True,1.0,0.26666666666666666,1.0
abc352_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc352_b,easy,P-F-P,True,False,True,1.0,0.09090909090909091,1.0
abc351_a,easy,F-F-P,False,False,True,0.0,0.08333333333333333,1.0
abc351_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc350_a,easy,F-F-P,False,False,True,0.8,0.0,1.0
abc350_b,easy,F-F-F,False,False,False,0.3,0.0,0.05
abc349_a,easy,F-F-P,False,False,True,0.0,0.1,1.0
abc349_b,easy,F-P-P,False,True,True,0.8235294117647058,1.0,1.0
abc348_b,easy,P-F-F,True,False,False,1.0,0.8636363636363636,0.0
abc348_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc400_c,medium,F-F-P,False,False,True,0.046511627906976744,0.06976744186046512,1.0
abc400_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc399_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc399_c,medium,F-F-F,False,False,False,0.16279069767441862,0.0,0.06976744186046512
arc195_a,medium,F-F-F,False,False,False,0.813953488372093,0.09302325581395349,0.8372093023255814
abc398_b,medium,F-F-F,False,False,False,0.7954545454545454,0.7954545454545454,0.9090909090909091
abc398_c,medium,F-F-F,False,False,False,0.9761904761904762,0.11904761904761904,0.11904761904761904
abc397_c,medium,P-F-F,True,False,False,1.0,0.0,0.0
abc397_b,medium,F-F-F,False,False,False,0.11627906976744186,0.2558139534883721,0.18604651162790697
arc194_a,medium,F-F-F,False,False,False,0.18604651162790697,0.20930232558139536,0.0
abc396_c,medium,F-F-F,False,False,False,0.046511627906976744,0.11627906976744186,0.16279069767441862
abc396_d,medium,F-F-P,False,False,True,0.0,0.0,1.0
abc395_c,medium,P-F-F,True,False,False,1.0,0.023255813953488372,0.6511627906976745
abc394_c,medium,P-P-F,True,True,False,1.0,1.0,0.3488372093023256
abc394_d,medium,P-P-P,True,True,True,1.0,1.0,1.0
arc192_a,medium,F-F-F,False,False,False,0.09302325581395349,0.09302325581395349,0.5813953488372093
abc392_d,medium,F-F-F,False,False,False,0.023809523809523808,0.0,0.40476190476190477
abc392_c,medium,F-F-F,False,False,False,0.16666666666666666,0.16666666666666666,0.07142857142857142
abc391_d,medium,F-F-F,False,False,False,0.0,0.07142857142857142,0.21428571428571427
arc191_a,medium,F-F-F,False,False,False,0.13953488372093023,0.3953488372093023,0.06976744186046512
abc390_d,medium,F-F-F,False,False,False,0.11627906976744186,0.06976744186046512,0.20930232558139536
abc390_c,medium,F-F-F,False,False,False,0.6046511627906976,0.18604651162790697,0.813953488372093
abc389_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc388_d,medium,F-F-F,False,False,False,0.06976744186046512,0.06976744186046512,0.0
abc388_c,medium,F-F-F,False,False,False,0.9302325581395349,0.0,0.16279069767441862
abc387_c,medium,F-F-F,False,False,False,0.6976744186046512,0.0,0.0
abc386_c,medium,F-F-F,False,False,False,0.8695652173913043,0.8695652173913043,0.8695652173913043
abc385_c,medium,F-F-F,False,False,False,0.627906976744186,0.627906976744186,0.023255813953488372
abc384_d,medium,F-F-F,False,False,False,0.8181818181818182,0.8181818181818182,0.8863636363636364
abc384_c,medium,F-F-P,False,False,True,0.0,0.0,1.0
arc189_a,medium,F-F-F,False,False,False,0.0,0.023809523809523808,0.0
