problem_id,title,difficulty,three_strategy_pattern,teacher_status,teacher_passed_tests,teacher_total_tests,teacher_test_pass_ratio,teacher_plan_correctness,implementation_fidelity,primary_bottleneck,failure_type,algorithm_category,missing_or_wrong_information,analysis_note
1883_C,C. Raspberries,medium,F-F-F,WRONG_ANSWER,5,13,0.3846153846153846,Correct,Medium,Implementation,Wrong Answer / Omitted Plan Branch,Math / Number Theory,None. The plan gave both the prime-k formula and the separate k = 4 branch with its three cases.,"The code kept only the prime branch and dropped the entire k = 4 case, so composite k was handled by the wrong formula. It also used max instead of the min over (k - a_i mod k) that the plan specified, and it never triggered the zero-cost shortcut correctly because the loop indexes data without consuming it. Two independent deviations from an explicit plan, both on the implementation side."
1899_B,B. 250 Thousand Tons of TNT,hard,F-F-F,WRONG_ANSWER,0,13,0.0,Correct,Medium,Implementation,Wrong Answer / Incomplete Divisor Enumeration,Prefix Sum / Divisor Enumeration,None. The plan said to enumerate divisors by trial division up to sqrt(n) and explicitly to take both k and n // k.,"The code enumerated only divisors k <= sqrt(n) and never added the paired divisor n // k, so most block sizes were never tested. It then tried to patch the k = n case by adding the whole array sum as a difference, which is not a difference of two truck loads at all and produced values like 4000000000. The plan's divisor rule was explicit, so this is a faithful-looking but incorrect realization."
abc301_a,Overall Winner,easy,F-F-F,WRONG_ANSWER,10,15,0.6666666666666666,Correct,Medium,Implementation,Wrong Answer / Inverted Condition,String / Simulation,None. The plan stated that on a tie the winner is the character that is NOT S[N-1].,"The code implemented the tie-break in reverse, printing S[-1] itself as the winner. Every test with unequal counts passed (10/15) and only the tie cases failed, which pinpoints the inversion. The reasoning sentence explaining why the last-game winner reaches the count later was present in the plan but was not carried into the code."
abc301_b,Fill the Gaps,easy,F-F-F,WRONG_ANSWER,3,10,0.3,Correct,Medium,Implementation,Wrong Answer / Omitted Plan Branch,Simulation,None. The plan specified stepping +1 when A_i < A_{i+1} and -1 when A_i > A_{i+1}.,"The code handles only the ascending direction: for a descending pair the expression range(diff - 1, 0, -1) with a negative diff is empty, so no values are inserted and the descending run disappears from the output. The sample already exposes this, giving 2 3 4 5 1 2 instead of the full sequence. One of the two branches the plan named was simply not written."
abc301_c,AtCoder Cards,medium,F-F-F,WRONG_ANSWER,11,16,0.6875,Correct,Medium,Implementation,Wrong Answer / Omitted Plan Constraint,String / Counting,"None. The plan required rejecting any letter outside {a, t, c, o, d, e, r} with a non-zero difference and required consuming the wildcard budgets cumulatively.","The code compares each letter's shortfall against the full wildcard count without ever deducting it, so several letters can each claim the same wildcards. It also omits the membership test for the seven allowed letters entirely, and ends with an unrelated check comparing the two wildcard totals. The plan named both constraints explicitly."
abc301_d,Bitmask,medium,F-F-F,WRONG_ANSWER,0,15,0.0,Correct,Low,Implementation,Wrong Answer / Incoherent Implementation,Greedy / Bit Manipulation,None. The plan specified the all-zero base value followed by a most-significant-first greedy over the '?' positions.,"The code never builds the base value from the fixed 0/1 characters, starts from float('inf'), walks the '?' positions from the least significant end, and prints -1 as soon as any bit would exceed N. The resulting procedure has no relation to the planned greedy and scores 0/15. This is a case where the plan was concrete and the generated algorithm was still different."
abc301_e,Pac,hard,F-F-F,RUNTIME_ERROR,0,15,0.0,Correct,Low,Implementation,Runtime Error / Malformed BFS State,Graph BFS + Bitmask DP,"None. The plan specified BFS from the start, the goal and each candy, then dp[mask][i] over at most 18 candies.","The BFS pushes ((row, col), 0) but unpacks three values, so it crashes on the first pop. The dp function is also structurally wrong: it indexes dp[mask][mask], references an undefined distances variable and an undefined T, and uses a Candy class defined after its first use. The plan's two-stage structure was not realized at any level, which matches the pattern of hard problems exceeding the 3B model's implementation capacity."
abc301_f,Anti,hard,F-F-F,RUNTIME_ERROR,0,15,0.0,Correct,Low,Implementation,Runtime Error / Type Error,Counting DP / Combinatorics,None algorithmically. The plan's three-phase DP was verified against brute force on all three samples before use.,"The code writes S[i] - 'A' as if characters were C chars, which raises a TypeError immediately in Python. Structurally it also repeats the same phase-0 loop three times over the whole string instead of carrying one left-to-right pass through the phases, and it never implements the fixed-uppercase symmetry split or the modular inverse. This plan is the densest of the 50 and is a plausible upper bound on what a 3B model can follow."
abc302_b,Find snuke,medium,F-F-F,RUNTIME_ERROR,0,15,0.0,Correct,Medium,Implementation,Runtime Error / Input Parsing,Grid / Brute Force,"None. The plan specified scanning every 's' cell over the 8 direction vectors and checking the next four cells for n, u, k, e.","The code passes sys.stdin.read() into a function that then calls input() again, so the stream is already exhausted and it dies with EOFError. The direction scan itself is also wrong: it compares against chr(ord('n') + step), which spells n, o, p, q rather than n, u, k, e. The plan's search structure was followed but both the I/O and the target letters were mishandled."
abc302_e,Isolation,hard,F-F-F,WRONG_ANSWER,0,14,0.0,Partially Correct,High,Planning,Wrong Answer / Missing Initialization,Graph / Amortized Data Structure,"The initial value of the isolated-vertex counter. All N vertices start with no edges, so the counter must be initialized to N; the plan only said to maintain 'a counter of vertices whose set is empty' and never stated its starting value.","The code follows the plan almost line by line: adjacency sets, decrement on insertion into an empty set, the clearing loop with increments, and buffered output. Its only defect is empty_count = 0 at the start, which makes every printed value exactly N too small, and the observed output -2, -3, -3, ... for N = 3 confirms precisely that offset. High fidelity to an under-specified plan makes this the one genuine planning failure among these 26 cases."
